"RefDes";"Value";"Quantity"
"BZ1";"BUZZER";"1"
"C1";"10u";"1"
"C2, C3, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C17";"100n";"13"
"C4, C8";"20p";"2"
"C16";"680n";"1"
"C18";"100p";"1"
"C19, C20";"27p";"2"
"CN1";"MAIN";"1"
"D1, D2";"10MQ040";"2"
"LED1, LED2, LED3, LED4";"RED";"4"
"LED5";"PWR";"1"
"M1";"RDM880";"1"
"R1, R2, R3, R4, R5";"5.1k";"5"
"R6, R7, R8, R13, R14, R15, R16, R27, R30, R31";"1k";"10"
"R9, R10, R11, R12";"20k";"4"
"R17, R20, R23, R26";"390";"4"
"R18, R19, R24, R25";"910";"4"
"R21, R22, R28, R29";"470";"4"
"R32";"10";"1"
"R33";"1";"1"
"U1";"78M05";"1"
"U2";"STM8S105K6T3C";"1"
"VT1, VT2, VT3, VT4, VT5, VT6, VT7, VT8, VT9";"BC847B";"9"
"Y1";"16M";"1"
